No,Property, Expected Type
1,about,"Thing,"
2,accessMode,"Text,"
3,accessModeSufficient,"Text,"
4,accessibilityAPI,"Text,"
5,accessibilityControl,"Text,"
6,accessibilityFeature,"Text,"
7,accessibilityHazard,"Text,"
8,accessibilitySummary,"Text,"
9,accountablePerson,"Person,"
10,aggregateRating,"AggregateRating,"
11,alternativeHeadline,"Text,"
12,associatedMedia,"MediaObject,"
13,audience,"Audience,"
14,audio,"AudioObject,"
15,author,"Organization,Person,"
16,award,"Text,"
17,character,"Person,"
18,citation,"CreativeWork,Text,"
19,comment,"Comment,"
20,commentCount,"Integer,"
21,contentLocation,"Place,"
22,contentRating,"Text,"
23,contentReferenceTime,"DateTime,"
24,contributor,"Organization,Person,"
25,copyrightHolder,"Organization,Person,"
26,copyrightYear,"Number,"
27,creator,"Organization,Person,"
28,dateCreated,"Date,DateTime,"
29,dateModified,"Date,DateTime,"
30,datePublished,"Date,"
31,discussionUrl,"URL,"
32,editor,"Person,"
33,educationalAlignment,"AlignmentObject,"
34,educationalUse,"Text,"
35,encoding,"MediaObject,"
36,exampleOfWork,"CreativeWork,"
37,expires,"Date,"
38,fileFormat,"Text,URL,"
39,funder,"Organization,Person,"
40,genre,"Text,URL,"
41,hasPart,"CreativeWork,"
42,headline,"Text,"
43,inLanguage,"Language,Text,"
44,interactionStatistic,"InteractionCounter,"
45,interactivityType,"Text,"
46,isAccessibleForFree,"Boolean,"
47,isBasedOn,"CreativeWork,Product,URL,"
48,isFamilyFriendly,"Boolean,"
49,isPartOf,"CreativeWork,"
50,keywords,"Text,"
51,learningResourceType,"Text,"
52,license,"CreativeWork,URL,"
53,locationCreated,"Place,"
54,mainEntity,"Thing,"
55,material,"Product,Text,URL,"
56,mentions,"Thing,"
57,offers,"Offer,"
58,position,"Integer,Text,"
59,producer,"Organization,Person,"
60,provider,"Organization,Person,"
61,publication,"PublicationEvent,"
62,publisher,"Organization,Person,"
63,publisherImprint,"Organization,"
64,publishingPrinciples,"CreativeWork,URL,"
65,recordedAt,"Event,"
66,releasedEvent,"PublicationEvent,"
67,review,"Review,"
68,schemaVersion,"Text,URL,"
69,sourceOrganization,"Organization,"
70,spatialCoverage,"Place,"
71,sponsor,"Organization,Person,"
72,temporalCoverage,"DateTime,Text,URL,"
73,text,"Text,"
74,thumbnailUrl,"URL,"
75,timeRequired,"Duration,"
76,translationOfWork,"CreativeWork,"
77,translator,"Organization,Person,"
78,typicalAgeRange,"Text,"
79,version,"Number,Text,"
80,video,"VideoObject,"
81,workExample,"CreativeWork,"
82,workTranslation,"CreativeWork,"
