No,Property, Expected Type
1,acceptedPaymentMethod,"LoanOrCredit,PaymentMethod,"
2,advanceBookingRequirement,"QuantitativeValue,"
3,areaServed,"AdministrativeArea,GeoShape,Place,Text,"
4,availability,"ItemAvailability,"
5,availabilityEnds,"DateTime,"
6,availabilityStarts,"DateTime,"
7,availableAtOrFrom,"Place,"
8,availableDeliveryMethod,"DeliveryMethod,"
9,businessFunction,"BusinessFunction,"
10,deliveryLeadTime,"QuantitativeValue,"
11,eligibleCustomerType,"BusinessEntityType,"
12,eligibleDuration,"QuantitativeValue,"
13,eligibleQuantity,"QuantitativeValue,"
14,eligibleRegion,"GeoShape,Place,Text,"
15,eligibleTransactionVolume,"PriceSpecification,"
16,gtin12,"Text,"
17,gtin13,"Text,"
18,gtin14,"Text,"
19,gtin8,"Text,"
20,includesObject,"TypeAndQuantityNode,"
21,ineligibleRegion,"GeoShape,Place,Text,"
22,inventoryLevel,"QuantitativeValue,"
23,itemCondition,"OfferItemCondition,"
24,itemOffered,"Product,Service,"
25,mpn,"Text,"
26,priceSpecification,"PriceSpecification,"
27,seller,"Organization,Person,"
28,serialNumber,"Text,"
29,sku,"Text,"
30,validFrom,"DateTime,"
31,validThrough,"DateTime,"
32,warranty,"WarrantyPromise,"
