No,Property, Expected Type
1,about,"Thing,"
2,actor,"Person,"
3,aggregateRating,"AggregateRating,"
4,attendee,"Organization,Person,"
5,audience,"Audience,"
6,composer,"Organization,Person,"
7,contributor,"Organization,Person,"
8,director,"Person,"
9,doorTime,"DateTime,"
10,duration,"Duration,"
11,endDate,"Date,DateTime,"
12,eventStatus,"EventStatusType,"
13,funder,"Organization,Person,"
14,inLanguage,"Language,Text,"
15,isAccessibleForFree,"Boolean,"
16,location,"Place,PostalAddress,Text,"
17,maximumAttendeeCapacity,"Integer,"
18,offers,"Offer,"
19,organizer,"Organization,Person,"
20,performer,"Organization,Person,"
21,previousStartDate,"Date,"
22,recordedIn,"CreativeWork,"
23,remainingAttendeeCapacity,"Integer,"
24,review,"Review,"
25,sponsor,"Organization,Person,"
26,startDate,"Date,DateTime,"
27,subEvent,"Event,"
28,superEvent,"Event,"
29,translator,"Organization,Person,"
30,typicalAgeRange,"Text,"
31,workFeatured,"CreativeWork,"
32,workPerformed,"CreativeWork,"
