No,Property, Expected Type
1,aircraft,"Text,Vehicle,"
2,arrivalAirport,"Airport,"
3,arrivalGate,"Text,"
4,arrivalTerminal,"Text,"
5,arrivalTime,"DateTime,"
6,boardingPolicy,"BoardingPolicyType,"
7,departureAirport,"Airport,"
8,departureGate,"Text,"
9,departureTerminal,"Text,"
10,departureTime,"DateTime,"
11,estimatedFlightDuration,"Duration,Text,"
12,flightDistance,"Distance,Text,"
13,flightNumber,"Text,"
14,mealService,"Text,"
15,provider,"Organization,Person,"
16,seller,"Organization,Person,"
17,webCheckinTime,"DateTime,"
