No,Property, Expected Type
1,aggregateRating,"AggregateRating,"
2,areaServed,"AdministrativeArea,GeoShape,Place,Text,"
3,audience,"Audience,"
4,availableChannel,"ServiceChannel,"
5,award,"Text,"
6,brand,"Brand,Organization,"
7,broker,"Organization,Person,"
8,category,"PhysicalActivityCategory,Text,Thing,"
9,hasOfferCatalog,"OfferCatalog,"
10,hoursAvailable,"OpeningHoursSpecification,"
11,isRelatedTo,"Product,Service,"
12,isSimilarTo,"Product,Service,"
13,logo,"ImageObject,URL,"
14,offers,"Offer,"
15,provider,"Organization,Person,"
16,providerMobility,"Text,"
17,review,"Review,"
18,serviceOutput,"Thing,"
19,serviceType,"Text,"
20,termsOfService,"Text,URL,"
