No,Property, Expected Type
1,accountId,"Text,"
2,billingPeriod,"Duration,"
3,broker,"Organization,Person,"
4,category,"PhysicalActivityCategory,Text,Thing,"
5,confirmationNumber,"Text,"
6,customer,"Organization,Person,"
7,minimumPaymentDue,"MonetaryAmount,PriceSpecification,"
8,paymentDueDate,"DateTime,"
9,paymentMethod,"PaymentMethod,"
10,paymentMethodId,"Text,"
11,paymentStatus,"PaymentStatusType,Text,"
12,provider,"Organization,Person,"
13,referencesOrder,"Order,"
14,scheduledPaymentDate,"Date,"
15,totalPaymentDue,"MonetaryAmount,PriceSpecification,"
