No,Property, Expected Type
1,baseSalary,"MonetaryAmount,Number,PriceSpecification,"
2,datePosted,"Date,"
3,educationRequirements,"Text,"
4,employmentType,"Text,"
5,estimatedSalary,"MonetaryAmount,MonetaryAmountDistribution,Number,PriceSpecification,"
6,experienceRequirements,"Text,"
7,hiringOrganization,"Organization,"
8,incentiveCompensation,"Text,"
9,industry,"Text,"
10,jobBenefits,"Text,"
11,jobLocation,"Place,"
12,occupationalCategory,"Text,"
13,qualifications,"Text,"
14,relevantOccupation,"Occupation,"
15,responsibilities,"Text,"
16,salaryCurrency,"Text,"
17,skills,"Text,"
18,specialCommitments,"Text,"
19,title,"Text,"
20,validThrough,"DateTime,"
21,workHours,"Text,"
