No,Property, Expected Type
1,acceptedPaymentMethod,"LoanOrCredit,PaymentMethod,"
2,addOn,"Offer,"
3,advanceBookingRequirement,"QuantitativeValue,"
4,aggregateRating,"AggregateRating,"
5,areaServed,"AdministrativeArea,GeoShape,Place,Text,"
6,availability,"ItemAvailability,"
7,availabilityEnds,"DateTime,"
8,availabilityStarts,"DateTime,"
9,availableAtOrFrom,"Place,"
10,availableDeliveryMethod,"DeliveryMethod,"
11,businessFunction,"BusinessFunction,"
12,category,"PhysicalActivityCategory,Text,Thing,"
13,deliveryLeadTime,"QuantitativeValue,"
14,eligibleCustomerType,"BusinessEntityType,"
15,eligibleDuration,"QuantitativeValue,"
16,eligibleQuantity,"QuantitativeValue,"
17,eligibleRegion,"GeoShape,Place,Text,"
18,eligibleTransactionVolume,"PriceSpecification,"
19,gtin12,"Text,"
20,gtin13,"Text,"
21,gtin14,"Text,"
22,gtin8,"Text,"
23,includesObject,"TypeAndQuantityNode,"
24,ineligibleRegion,"GeoShape,Place,Text,"
25,inventoryLevel,"QuantitativeValue,"
26,itemCondition,"OfferItemCondition,"
27,itemOffered,"Product,Service,"
28,mpn,"Text,"
29,offeredBy,"Organization,Person,"
30,price,"Number,Text,"
31,priceCurrency,"Text,"
32,priceSpecification,"PriceSpecification,"
33,priceValidUntil,"Date,"
34,review,"Review,"
35,seller,"Organization,Person,"
36,serialNumber,"Text,"
37,sku,"Text,"
38,validFrom,"DateTime,"
39,validThrough,"DateTime,"
40,warranty,"WarrantyPromise,"
