No,Property, Expected Type
1,acceptedOffer,"Offer,"
2,billingAddress,"PostalAddress,"
3,broker,"Organization,Person,"
4,confirmationNumber,"Text,"
5,customer,"Organization,Person,"
6,discount,"Number,Text,"
7,discountCode,"Text,"
8,discountCurrency,"Text,"
9,isGift,"Boolean,"
10,orderDate,"DateTime,"
11,orderDelivery,"ParcelDelivery,"
12,orderNumber,"Text,"
13,orderStatus,"OrderStatus,"
14,orderedItem,"OrderItem,Product,"
15,partOfInvoice,"Invoice,"
16,paymentDueDate,"DateTime,"
17,paymentMethod,"PaymentMethod,"
18,paymentMethodId,"Text,"
19,paymentUrl,"URL,"
20,seller,"Organization,Person,"
