No,Property, Expected Type
1,additionalName,"Text,"
2,address,"PostalAddress,Text,"
3,affiliation,"Organization,"
4,alumniOf,"EducationalOrganization,Organization,"
5,award,"Text,"
6,birthDate,"Date,"
7,birthPlace,"Place,"
8,brand,"Brand,Organization,"
9,children,"Person,"
10,colleague,"Person,URL,"
11,contactPoint,"ContactPoint,"
12,deathDate,"Date,"
13,deathPlace,"Place,"
14,duns,"Text,"
15,email,"Text,"
16,familyName,"Text,"
17,faxNumber,"Text,"
18,follows,"Person,"
19,funder,"Organization,Person,"
20,gender,"GenderType,Text,"
21,givenName,"Text,"
22,globalLocationNumber,"Text,"
23,hasOccupation,"Occupation,"
24,hasOfferCatalog,"OfferCatalog,"
25,hasPOS,"Place,"
26,height,"Distance,QuantitativeValue,"
27,homeLocation,"ContactPoint,Place,"
28,honorificPrefix,"Text,"
29,honorificSuffix,"Text,"
30,isicV4,"Text,"
31,jobTitle,"Text,"
32,knows,"Person,"
33,makesOffer,"Offer,"
34,memberOf,"Organization,ProgramMembership,"
35,naics,"Text,"
36,nationality,"Country,"
37,netWorth,"MonetaryAmount,PriceSpecification,"
38,owns,"OwnershipInfo,Product,"
39,parent,"Person,"
40,performerIn,"Event,"
41,publishingPrinciples,"CreativeWork,URL,"
42,relatedTo,"Person,"
43,seeks,"Demand,"
44,sibling,"Person,"
45,sponsor,"Organization,Person,"
46,spouse,"Person,"
47,taxID,"Text,"
48,telephone,"Text,"
49,vatID,"Text,"
50,weight,"QuantitativeValue,"
51,workLocation,"ContactPoint,Place,"
52,worksFor,"Organization,"
