No,Property, Expected Type
1,additionalProperty,"PropertyValue,"
2,aggregateRating,"AggregateRating,"
3,audience,"Audience,"
4,award,"Text,"
5,brand,"Brand,Organization,"
6,category,"PhysicalActivityCategory,Text,Thing,"
7,color,"Text,"
8,depth,"Distance,QuantitativeValue,"
9,gtin12,"Text,"
10,gtin13,"Text,"
11,gtin14,"Text,"
12,gtin8,"Text,"
13,height,"Distance,QuantitativeValue,"
14,isAccessoryOrSparePartFor,"Product,"
15,isConsumableFor,"Product,"
16,isRelatedTo,"Product,Service,"
17,isSimilarTo,"Product,Service,"
18,itemCondition,"OfferItemCondition,"
19,logo,"ImageObject,URL,"
20,manufacturer,"Organization,"
21,material,"Product,Text,URL,"
22,model,"ProductModel,Text,"
23,mpn,"Text,"
24,offers,"Offer,"
25,productID,"Text,"
26,productionDate,"Date,"
27,purchaseDate,"Date,"
28,releaseDate,"Date,"
29,review,"Review,"
30,sku,"Text,"
31,weight,"QuantitativeValue,"
32,width,"Distance,QuantitativeValue,"
