No,Property, Expected Type
1,applicationCategory,"Text,URL,"
2,applicationSubCategory,"Text,URL,"
3,applicationSuite,"Text,"
4,availableOnDevice,"Text,"
5,countriesNotSupported,"Text,"
6,countriesSupported,"Text,"
7,downloadUrl,"URL,"
8,featureList,"Text,URL,"
9,fileSize,"Text,"
10,installUrl,"URL,"
11,memoryRequirements,"Text,URL,"
12,operatingSystem,"Text,"
13,permissions,"Text,"
14,processorRequirements,"Text,"
15,releaseNotes,"Text,URL,"
16,screenshot,"ImageObject,URL,"
17,softwareAddOn,"SoftwareApplication,"
18,softwareHelp,"CreativeWork,"
19,softwareRequirements,"Text,URL,"
20,softwareVersion,"Text,"
21,storageRequirements,"Text,URL,"
22,supportingData,"DataFeed,"
