No,Property, Expected Type
1,additionalProperty,"PropertyValue,"
2,address,"PostalAddress,Text,"
3,aggregateRating,"AggregateRating,"
4,amenityFeature,"LocationFeatureSpecification,"
5,branchCode,"Text,"
6,containedInPlace,"Place,"
7,containsPlace,"Place,"
8,event,"Event,"
9,faxNumber,"Text,"
10,geo,"GeoCoordinates,GeoShape,"
11,geospatiallyContains,"GeospatialGeometry,Place,"
12,geospatiallyCoveredBy,"GeospatialGeometry,Place,"
13,geospatiallyCovers,"GeospatialGeometry,Place,"
14,geospatiallyCrosses,"GeospatialGeometry,Place,"
15,geospatiallyDisjoint,"GeospatialGeometry,Place,"
16,geospatiallyEquals,"GeospatialGeometry,Place,"
17,geospatiallyIntersects,"GeospatialGeometry,Place,"
18,geospatiallyOverlaps,"GeospatialGeometry,Place,"
19,geospatiallyTouches,"GeospatialGeometry,Place,"
20,geospatiallyWithin,"GeospatialGeometry,Place,"
21,globalLocationNumber,"Text,"
22,hasMap,"Map,URL,"
23,isAccessibleForFree,"Boolean,"
24,isicV4,"Text,"
25,logo,"ImageObject,URL,"
26,maximumAttendeeCapacity,"Integer,"
27,openingHoursSpecification,"OpeningHoursSpecification,"
28,photo,"ImageObject,Photograph,"
29,publicAccess,"Boolean,"
30,review,"Review,"
31,smokingAllowed,"Boolean,"
32,specialOpeningHoursSpecification,"OpeningHoursSpecification,"
33,telephone,"Text,"
