No,Property, Expected Type
1,actionableFeedbackPolicy,"CreativeWork,URL,"
2,address,"PostalAddress,Text,"
3,aggregateRating,"AggregateRating,"
4,alumni,"Person,"
5,areaServed,"AdministrativeArea,GeoShape,Place,Text,"
6,award,"Text,"
7,brand,"Brand,Organization,"
8,contactPoint,"ContactPoint,"
9,correctionsPolicy,"CreativeWork,URL,"
10,department,"Organization,"
11,dissolutionDate,"Date,"
12,diversityPolicy,"CreativeWork,URL,"
13,duns,"Text,"
14,email,"Text,"
15,employee,"Person,"
16,ethicsPolicy,"CreativeWork,URL,"
17,event,"Event,"
18,faxNumber,"Text,"
19,founder,"Person,"
20,foundingDate,"Date,"
21,foundingLocation,"Place,"
22,funder,"Organization,Person,"
23,globalLocationNumber,"Text,"
24,hasOfferCatalog,"OfferCatalog,"
25,hasPOS,"Place,"
26,isicV4,"Text,"
27,legalName,"Text,"
28,leiCode,"Text,"
29,location,"Place,PostalAddress,Text,"
30,logo,"ImageObject,URL,"
31,makesOffer,"Offer,"
32,member,"Organization,Person,"
33,memberOf,"Organization,ProgramMembership,"
34,naics,"Text,"
35,numberOfEmployees,"QuantitativeValue,"
36,owns,"OwnershipInfo,Product,"
37,parentOrganization,"Organization,"
38,publishingPrinciples,"CreativeWork,URL,"
39,review,"Review,"
40,seeks,"Demand,"
41,sponsor,"Organization,Person,"
42,subOrganization,"Organization,"
43,taxID,"Text,"
44,telephone,"Text,"
45,unnamedSourcesPolicy,"CreativeWork,URL,"
46,vatID,"Text,"
