No,Property, Expected Type
1,accelerationTime,"QuantitativeValue,"
2,bodyType,"QualitativeValue,Text,URL,"
3,cargoVolume,"QuantitativeValue,"
4,dateVehicleFirstRegistered,"Date,"
5,driveWheelConfiguration,"DriveWheelConfigurationValue,Text,"
6,emissionsCO2,"Number,"
7,fuelCapacity,"QuantitativeValue,"
8,fuelConsumption,"QuantitativeValue,"
9,fuelEfficiency,"QuantitativeValue,"
10,fuelType,"QualitativeValue,Text,URL,"
11,knownVehicleDamages,"Text,"
12,meetsEmissionStandard,"QualitativeValue,Text,URL,"
13,mileageFromOdometer,"QuantitativeValue,"
14,modelDate,"Date,"
15,numberOfAirbags,"Number,Text,"
16,numberOfAxles,"Number,QuantitativeValue,"
17,numberOfDoors,"Number,QuantitativeValue,"
18,numberOfForwardGears,"Number,QuantitativeValue,"
19,numberOfPreviousOwners,"Number,QuantitativeValue,"
20,payload,"QuantitativeValue,"
21,productionDate,"Date,"
22,purchaseDate,"Date,"
23,seatingCapacity,"Number,QuantitativeValue,"
24,speed,"QuantitativeValue,"
25,steeringPosition,"SteeringPositionValue,"
26,tongueWeight,"QuantitativeValue,"
27,trailerWeight,"QuantitativeValue,"
28,vehicleConfiguration,"Text,"
29,vehicleEngine,"EngineSpecification,"
30,vehicleIdentificationNumber,"Text,"
31,vehicleInteriorColor,"Text,"
32,vehicleInteriorType,"Text,"
33,vehicleModelDate,"Date,"
34,vehicleSeatingCapacity,"Number,QuantitativeValue,"
35,vehicleSpecialUsage,"CarUsageType,Text,"
36,vehicleTransmission,"QualitativeValue,Text,URL,"
37,weightTotal,"QuantitativeValue,"
38,wheelbase,"QuantitativeValue,"
