No,Property, Expected Type
1,actor,"Person,"
2,characterAttribute,"Thing,"
3,cheatCode,"CreativeWork,"
4,containsSeason,"CreativeWorkSeason,"
5,director,"Person,"
6,episode,"Episode,"
7,gameItem,"Thing,"
8,gameLocation,"Place,PostalAddress,URL,"
9,gamePlatform,"Text,Thing,URL,"
10,musicBy,"MusicGroup,Person,"
11,numberOfEpisodes,"Integer,"
12,numberOfPlayers,"QuantitativeValue,"
13,numberOfSeasons,"Integer,"
14,playMode,"GamePlayMode,"
15,productionCompany,"Organization,"
16,quest,"Thing,"
17,trailer,"VideoObject,"
