No,Class Name
1,Action
2,AchieveAction
3,AssessAction
4,ChooseAction
5,ReactAction
6,ConsumeAction
7,UseAction
8,ControlAction
9,CreateAction
10,FindAction
11,InteractAction
12,CommunicateAction
13,InformAction
14,MoveAction
15,OrganizeAction
16,AllocateAction
17,PlanAction
18,PlayAction
19,TradeAction
20,TransferAction
21,UpdateAction
22,AddAction
23,InsertAction
24,CreativeWork
25,Article
26,NewsArticle
27,ScholarlyArticle
28,SocialMediaPosting
29,BlogPosting
30,TechArticle
31,Book
32,Clip
33,Comment
34,CreativeWorkSeason
35,CreativeWorkSeries
36,Periodical
37,Dataset
38,DataFeed
39,DigitalDocument
40,Episode
41,Game
42,HowTo
43,MediaObject
44,AudioObject
45,ImageObject
46,Message
47,MusicPlaylist
48,PublicationIssue
49,Review
50,SoftwareApplication
51,VisualArtwork
52,WebPage
53,CollectionPage
54,WebPageElement
55,Event
56,PublicationEvent
57,Intangible
58,Audience
59,PeopleAudience
60,BroadcastChannel
61,RadioChannel
62,Enumeration
63,DeliveryMethod
64,PaymentMethod
65,PaymentCard
66,QualitativeValue
67,Specialty
68,ItemList
69,ListItem
70,HowToItem
71,Offer
72,Permit
73,Quantity
74,Rating
75,AggregateRating
76,Reservation
77,Role
78,OrganizationRole
79,Service
80,FinancialProduct
81,BankAccount
82,InvestmentOrDeposit
83,LoanOrCredit
84,PaymentCard
85,StructuredValue
86,ContactPoint
87,GeoShape
88,PriceSpecification
89,PropertyValue
90,QuantitativeValue
91,Organization
92,EducationalOrganization
93,LocalBusiness
94,AutomotiveBusiness
95,EmergencyService
96,EntertainmentBusiness
97,FinancialService
98,FoodEstablishment
99,GovernmentOffice
100,HealthAndBeautyBusiness
101,HomeAndConstructionBusiness
102,LegalService
103,LodgingBusiness
104,SportsActivityLocation
105,Store
106,MedicalOrganization
107,PerformingGroup
108,SportsOrganization
109,Person
110,Place
111,Accommodation
112,House
113,Room
114,AdministrativeArea
115,CivicStructure
116,GovernmentBuilding
117,PlaceOfWorship
118,Landform
119,BodyOfWater
120,LocalBusiness
121,Residence
122,Product
123,Vehicle
124,LoseAction
125,TieAction
126,WinAction
127,VoteAction
128,IgnoreAction
129,AgreeAction
130,DisagreeAction
131,DislikeAction
132,EndorseAction
133,LikeAction
134,WantAction
135,ReviewAction
136,DrinkAction
137,EatAction
138,InstallAction
139,ListenAction
140,ReadAction
141,WearAction
142,ViewAction
143,WatchAction
144,ActivateAction
145,DeactivateAction
146,ResumeAction
147,SuspendAction
148,CookAction
149,DrawAction
150,FilmAction
151,PaintAction
152,PhotographAction
153,WriteAction
154,CheckAction
155,DiscoverAction
156,TrackAction
157,BefriendAction
158,AskAction
159,CheckInAction
160,CheckOutAction
161,CommentAction
162,ConfirmAction
163,RsvpAction
164,InviteAction
165,ReplyAction
166,ShareAction
167,FollowAction
168,JoinAction
169,LeaveAction
170,MarryAction
171,RegisterAction
172,SubscribeAction
173,UnRegisterAction
174,ArriveAction
175,DepartAction
176,TravelAction
177,AcceptAction
178,AssignAction
179,AuthorizeAction
180,RejectAction
181,ApplyAction
182,BookmarkAction
183,CancelAction
184,ReserveAction
185,ScheduleAction
186,ExerciseAction
187,PerformAction
188,SearchAction
189,BuyAction
190,DonateAction
191,OrderAction
192,PayAction
193,QuoteAction
194,RentAction
195,SellAction
196,TipAction
197,BorrowAction
198,DownloadAction
199,GiveAction
200,LendAction
201,ReceiveAction
202,ReturnAction
203,SendAction
204,TakeAction
205,AppendAction
206,PrependAction
207,DeleteAction
208,ReplaceAction
209,Report
210,LiveBlogPosting
211,DiscussionForumPosting
212,APIReference
213,Blog
214,MovieClip
215,RadioClip
216,TVClip
217,VideoGameClip
218,Answer
219,Conversation
220,Course
221,RadioSeason
222,TVSeason
223,BookSeries
224,MovieSeries
225,RadioSeries
226,TVSeries
227,VideoGameSeries
228,DataCatalog
229,NoteDigitalDocument
230,PresentationDigitalDocument
231,SpreadsheetDigitalDocument
232,TextDigitalDocument
233,RadioEpisode
234,TVEpisode
235,VideoGame
236,Recipe
237,HowToDirection
238,HowToSection
239,HowToStep
240,HowToTip
241,Map
242,DataDownload
243,Barcode
244,MusicVideoObject
245,VideoObject
246,Menu
247,MenuSection
248,EmailMessage
249,Movie
250,MusicComposition
251,MusicAlbum
252,MusicRelease
253,MusicRecording
254,Painting
255,Photograph
256,PublicationVolume
257,Question
258,ClaimReview
259,Sculpture
260,Series
261,MobileApplication
262,VideoGame
263,WebApplication
264,SoftwareSourceCode
265,TVSeason
266,TVSeries
267,AboutPage
268,CheckoutPage
269,ImageGallery
270,VideoGallery
271,ContactPage
272,ItemPage
273,ProfilePage
274,QAPage
275,SearchResultsPage
276,SiteNavigationElement
277,Table
278,WPAdBlock
279,WPFooter
280,WPHeader
281,WPSideBar
282,WebSite
283,BusinessEvent
284,ChildrensEvent
285,ComedyEvent
286,CourseInstance
287,DanceEvent
288,DeliveryEvent
289,EducationEvent
290,ExhibitionEvent
291,Festival
292,FoodEvent
293,LiteraryEvent
294,MusicEvent
295,BroadcastEvent
296,OnDemandEvent
297,SaleEvent
298,ScreeningEvent
299,SocialEvent
300,SportsEvent
301,TheaterEvent
302,VisualArtsEvent
303,AlignmentObject
304,BusinessAudience
305,EducationalAudience
306,ParentAudience
307,BedDetails
308,Brand
309,TelevisionChannel
310,BusTrip
311,ComputerLanguage
312,DataFeedItem
313,Demand
314,DigitalDocumentPermission
315,EntryPoint
316,ActionStatusType
317,BoardingPolicyType
318,BookFormatType
319,BusinessEntityType
320,BusinessFunction
321,ContactPointOption
322,DayOfWeek
323,LockerDelivery
324,ParcelService
325,DigitalDocumentPermissionType
326,EventStatusType
327,GamePlayMode
328,GameServerStatus
329,GenderType
330,ItemAvailability
331,ItemListOrderType
332,MapCategoryType
333,MusicAlbumProductionType
334,MusicAlbumReleaseType
335,MusicReleaseFormatType
336,OfferItemCondition
337,OrderStatus
338,CreditCard
339,PaymentStatusType
340,DriveWheelConfigurationValue
341,SteeringPositionValue
342,ReservationStatusType
343,RestrictedDiet
344,RsvpResponseType
345,WarrantyScope
346,Flight
347,GameServer
348,Invoice
349,BreadcrumbList
350,HowToSection
351,HowToStep
352,OfferCatalog
353,JobPosting
354,Language
355,HowToDirection
356,HowToSupply
357,HowToTool
358,HowToStep
359,HowToTip
360,MenuItem
361,AggregateOffer
362,Order
363,OrderItem
364,ParcelDelivery
365,GovernmentPermit
366,ProgramMembership
367,PropertyValueSpecification
368,Distance
369,Duration
370,Energy
371,Mass
372,BusReservation
373,EventReservation
374,FlightReservation
375,FoodEstablishmentReservation
376,LodgingReservation
377,RentalCarReservation
378,ReservationPackage
379,TaxiReservation
380,TrainReservation
381,EmployeeRole
382,PerformanceRole
383,Seat
384,BroadcastService
385,CableOrSatelliteService
386,DepositAccount
387,CurrencyConversionService
388,DepositAccount
389,CreditCard
390,PaymentService
391,FoodService
392,GovernmentService
393,TaxiService
394,ServiceChannel
395,PostalAddress
396,EngineSpecification
397,GeoCoordinates
398,GeoCircle
399,InteractionCounter
400,MonetaryAmount
401,NutritionInformation
402,OpeningHoursSpecification
403,OwnershipInfo
404,CompoundPriceSpecification
405,DeliveryChargeSpecification
406,PaymentChargeSpecification
407,UnitPriceSpecification
408,LocationFeatureSpecification
409,TypeAndQuantityNode
410,WarrantyPromise
411,Ticket
412,TrainTrip
413,Airline
414,Corporation
415,CollegeOrUniversity
416,ElementarySchool
417,HighSchool
418,MiddleSchool
419,Preschool
420,School
421,GovernmentOrganization
422,AnimalShelter
423,AutoBodyShop
424,AutoDealer
425,AutoPartsStore
426,AutoRental
427,AutoRepair
428,AutoWash
429,GasStation
430,MotorcycleDealer
431,MotorcycleRepair
432,ChildCare
433,Dentist
434,DryCleaningOrLaundry
435,FireStation
436,Hospital
437,PoliceStation
438,EmploymentAgency
439,AdultEntertainment
440,AmusementPark
441,ArtGallery
442,Casino
443,ComedyClub
444,MovieTheater
445,NightClub
446,AccountingService
447,AutomatedTeller
448,BankOrCreditUnion
449,InsuranceAgency
450,Bakery
451,BarOrPub
452,Brewery
453,CafeOrCoffeeShop
454,FastFoodRestaurant
455,IceCreamShop
456,Restaurant
457,Winery
458,PostOffice
459,BeautySalon
460,DaySpa
461,HairSalon
462,HealthClub
463,NailSalon
464,TattooParlor
465,Electrician
466,GeneralContractor
467,HVACBusiness
468,HousePainter
469,Locksmith
470,MovingCompany
471,Plumber
472,RoofingContractor
473,InternetCafe
474,Attorney
475,Notary
476,Library
477,BedAndBreakfast
478,Campground
479,Hostel
480,Hotel
481,Motel
482,Resort
483,ProfessionalService
484,RadioStation
485,RealEstateAgent
486,RecyclingCenter
487,SelfStorage
488,ShoppingCenter
489,BowlingAlley
490,ExerciseGym
491,GolfCourse
492,HealthClub
493,PublicSwimmingPool
494,SkiResort
495,SportsClub
496,StadiumOrArena
497,TennisComplex
498,AutoPartsStore
499,BikeStore
500,BookStore
501,ClothingStore
502,ComputerStore
503,ConvenienceStore
504,DepartmentStore
505,ElectronicsStore
506,Florist
507,FurnitureStore
508,GardenStore
509,GroceryStore
510,HardwareStore
511,HobbyShop
512,HomeGoodsStore
513,JewelryStore
514,LiquorStore
515,MensClothingStore
516,MobilePhoneStore
517,MovieRentalStore
518,MusicStore
519,OfficeEquipmentStore
520,OutletStore
521,PawnShop
522,PetStore
523,ShoeStore
524,SportingGoodsStore
525,TireShop
526,ToyStore
527,WholesaleStore
528,TelevisionStation
529,TouristInformationCenter
530,TravelAgency
531,Dentist
532,Hospital
533,Pharmacy
534,Physician
535,NGO
536,DanceGroup
537,MusicGroup
538,TheaterGroup
539,SportsTeam
540,Apartment
541,CampingPitch
542,SingleFamilyResidence
543,HotelRoom
544,MeetingRoom
545,Suite
546,City
547,Country
548,State
549,Airport
550,Aquarium
551,Beach
552,Bridge
553,BusStation
554,BusStop
555,Campground
556,Cemetery
557,Crematorium
558,EventVenue
559,FireStation
560,CityHall
561,Courthouse
562,DefenceEstablishment
563,Embassy
564,LegislativeBuilding
565,Hospital
566,MovieTheater
567,Museum
568,MusicVenue
569,Park
570,ParkingFacility
571,PerformingArtsTheater
572,BuddhistTemple
573,CatholicChurch
574,Church
575,HinduTemple
576,Mosque
577,Synagogue
578,Playground
579,PoliceStation
580,RVPark
581,StadiumOrArena
582,SubwayStation
583,TaxiStand
584,TrainStation
585,Zoo
586,Canal
587,LakeBodyOfWater
588,OceanBodyOfWater
589,Pond
590,Reservoir
591,RiverBodyOfWater
592,SeaBodyOfWater
593,Waterfall
594,Continent
595,Mountain
596,Volcano
597,LandmarksOrHistoricalBuildings
598,ApartmentComplex
599,GatedResidenceCommunity
600,TouristAttraction
601,IndividualProduct
602,ProductModel
603,SomeProducts
604,Car
