No,Class Name, Parent
1,Action,"Thing,"
2,AchieveAction,"Thing,Action,"
3,AssessAction,"Thing,Action,"
4,ChooseAction,"Thing,Action,AssessAction,"
5,ReactAction,"Thing,Action,AssessAction,"
6,ConsumeAction,"Thing,Action,"
7,UseAction,"Thing,Action,ConsumeAction,"
8,ControlAction,"Thing,Action,"
9,CreateAction,"Thing,Action,"
10,FindAction,"Thing,Action,"
11,InteractAction,"Thing,Action,"
12,CommunicateAction,"Thing,Action,InteractAction,"
13,InformAction,"Thing,Action,InteractAction,CommunicateAction,"
14,MoveAction,"Thing,Action,"
15,OrganizeAction,"Thing,Action,"
16,AllocateAction,"Thing,Action,OrganizeAction,"
17,PlanAction,"Thing,Action,OrganizeAction,"
18,PlayAction,"Thing,Action,"
19,TradeAction,"Thing,Action,"
20,TransferAction,"Thing,Action,"
21,UpdateAction,"Thing,Action,"
22,AddAction,"Thing,Action,UpdateAction,"
23,InsertAction,"Thing,Action,UpdateAction,AddAction,"
24,CreativeWork,"Thing,"
25,Article,"Thing,CreativeWork,"
26,NewsArticle,"Thing,CreativeWork,Article,"
27,ScholarlyArticle,"Thing,CreativeWork,Article,"
28,SocialMediaPosting,"Thing,CreativeWork,Article,"
29,BlogPosting,"Thing,CreativeWork,Article,SocialMediaPosting,"
30,TechArticle,"Thing,CreativeWork,Article,"
31,Book,"Thing,CreativeWork,"
32,Clip,"Thing,CreativeWork,"
33,Comment,"Thing,CreativeWork,"
34,CreativeWorkSeason,"Thing,CreativeWork,"
35,CreativeWorkSeries,"Thing,CreativeWork,"
36,Periodical,"Thing,CreativeWork,CreativeWorkSeries,"
37,Dataset,"Thing,CreativeWork,"
38,DataFeed,"Thing,CreativeWork,Dataset,"
39,DigitalDocument,"Thing,CreativeWork,"
40,Episode,"Thing,CreativeWork,"
41,Game,"Thing,CreativeWork,"
42,HowTo,"Thing,CreativeWork,"
43,MediaObject,"Thing,CreativeWork,"
44,AudioObject,"Thing,CreativeWork,MediaObject,"
45,ImageObject,"Thing,CreativeWork,MediaObject,"
46,Message,"Thing,CreativeWork,"
47,MusicPlaylist,"Thing,CreativeWork,"
48,PublicationIssue,"Thing,CreativeWork,"
49,Review,"Thing,CreativeWork,"
50,SoftwareApplication,"Thing,CreativeWork,"
51,VisualArtwork,"Thing,CreativeWork,"
52,WebPage,"Thing,CreativeWork,"
53,CollectionPage,"Thing,CreativeWork,WebPage,"
54,WebPageElement,"Thing,CreativeWork,"
55,Event,"Thing,"
56,PublicationEvent,"Thing,Event,"
57,Intangible,"Thing,"
58,Audience,"Thing,Intangible,"
59,PeopleAudience,"Thing,Intangible,Audience,"
60,BroadcastChannel,"Thing,Intangible,"
61,RadioChannel,"Thing,Intangible,BroadcastChannel,"
62,Enumeration,"Thing,Intangible,"
63,DeliveryMethod,"Thing,Intangible,Enumeration,"
64,PaymentMethod,"Thing,Intangible,Enumeration,"
65,PaymentCard,"Thing,Intangible,Enumeration,PaymentMethod,"
66,QualitativeValue,"Thing,Intangible,Enumeration,"
67,Specialty,"Thing,Intangible,Enumeration,"
68,ItemList,"Thing,Intangible,"
69,ListItem,"Thing,Intangible,"
70,HowToItem,"Thing,Intangible,ListItem,"
71,Offer,"Thing,Intangible,"
72,Permit,"Thing,Intangible,"
73,Quantity,"Thing,Intangible,"
74,Rating,"Thing,Intangible,"
75,AggregateRating,"Thing,Intangible,Rating,"
76,Reservation,"Thing,Intangible,"
77,Role,"Thing,Intangible,"
78,OrganizationRole,"Thing,Intangible,Role,"
79,Service,"Thing,Intangible,"
80,FinancialProduct,"Thing,Intangible,Service,"
81,BankAccount,"Thing,Intangible,Service,FinancialProduct,"
82,InvestmentOrDeposit,"Thing,Intangible,Service,FinancialProduct,"
83,LoanOrCredit,"Thing,Intangible,Service,FinancialProduct,"
84,PaymentCard,"Thing,Intangible,Service,FinancialProduct,"
85,StructuredValue,"Thing,Intangible,"
86,ContactPoint,"Thing,Intangible,StructuredValue,"
87,GeoShape,"Thing,Intangible,StructuredValue,"
88,PriceSpecification,"Thing,Intangible,StructuredValue,"
89,PropertyValue,"Thing,Intangible,StructuredValue,"
90,QuantitativeValue,"Thing,Intangible,StructuredValue,"
91,Organization,"Thing,"
92,EducationalOrganization,"Thing,Organization,"
93,LocalBusiness,"Thing,Organization,"
94,AutomotiveBusiness,"Thing,Organization,LocalBusiness,"
95,EmergencyService,"Thing,Organization,LocalBusiness,"
96,EntertainmentBusiness,"Thing,Organization,LocalBusiness,"
97,FinancialService,"Thing,Organization,LocalBusiness,"
98,FoodEstablishment,"Thing,Organization,LocalBusiness,"
99,GovernmentOffice,"Thing,Organization,LocalBusiness,"
100,HealthAndBeautyBusiness,"Thing,Organization,LocalBusiness,"
101,HomeAndConstructionBusiness,"Thing,Organization,LocalBusiness,"
102,LegalService,"Thing,Organization,LocalBusiness,"
103,LodgingBusiness,"Thing,Organization,LocalBusiness,"
104,SportsActivityLocation,"Thing,Organization,LocalBusiness,"
105,Store,"Thing,Organization,LocalBusiness,"
106,MedicalOrganization,"Thing,Organization,"
107,PerformingGroup,"Thing,Organization,"
108,SportsOrganization,"Thing,Organization,"
109,Person,"Thing,"
110,Place,"Thing,"
111,Accommodation,"Thing,Place,"
112,House,"Thing,Place,Accommodation,"
113,Room,"Thing,Place,Accommodation,"
114,AdministrativeArea,"Thing,Place,"
115,CivicStructure,"Thing,Place,"
116,GovernmentBuilding,"Thing,Place,CivicStructure,"
117,PlaceOfWorship,"Thing,Place,CivicStructure,"
118,Landform,"Thing,Place,"
119,BodyOfWater,"Thing,Place,Landform,"
120,LocalBusiness,"Thing,Place,"
121,Residence,"Thing,Place,"
122,Product,"Thing,"
123,Vehicle,"Thing,Product,"
124,LoseAction,"Thing,Action,AchieveAction,"
125,TieAction,"Thing,Action,AchieveAction,"
126,WinAction,"Thing,Action,AchieveAction,"
127,VoteAction,"Thing,Action,AssessAction,ChooseAction,"
128,IgnoreAction,"Thing,Action,AssessAction,"
129,AgreeAction,"Thing,Action,AssessAction,ReactAction,"
130,DisagreeAction,"Thing,Action,AssessAction,ReactAction,"
131,DislikeAction,"Thing,Action,AssessAction,ReactAction,"
132,EndorseAction,"Thing,Action,AssessAction,ReactAction,"
133,LikeAction,"Thing,Action,AssessAction,ReactAction,"
134,WantAction,"Thing,Action,AssessAction,ReactAction,"
135,ReviewAction,"Thing,Action,AssessAction,"
136,DrinkAction,"Thing,Action,ConsumeAction,"
