No,Score,Atribut,Property
1,'0.06015037593984962', 'id', 'home Location'
2,'0.8999999999999999', 'name', 'name'
3,'0.06611570247933884', 'nip', 'nationality'
4,'0.8999999999999999', 'gender', 'gender'
5,'0.8999999999999999', 'place of birth', 'birth Place'
6,'0.8999999999999999', 'Date of birth', 'birth Date'
7,'0.14222222222222222', 'religion', 'knows'
8,'0.14792899408284024', 'the highest education', 'potential Action'
9,'0', 'JenisStaff', 'JenisStaff'
10,'0.08000000000000002', 'unit', 'subject Of'
11,'0.125', 'rank', 'nationality'
12,'0.2', 'space class', 'family Name'
13,'0.02040816326530612', 'functional department', 'net Worth'
14,'0.8999999999999999', 'image', 'image'
