atribut,property,score
id,additional Type,0.0
id,alternate Name,0.02493074792243767
id,description,0.0078125
id,disambiguating Description,0.003289473684210526
id,identifier,0.0078125
id,image,0.006920415224913495
id,main Entity Of Page,0.0
id,name,0.0078125
id,potential Action,0.0
id,same As,0
id,subject Of,0.008888888888888889
id,rl,0
id,additional Name,0.0
id,address,0.006172839506172839
id,affiliation,0.0078125
id,alumni Of,0.04986149584487534
id,award,0.005540166204986149
id,birth Date,0.00390625
id,birth Place,0.015625
id,brand,0.006920415224913495
id,children,0.05555555555555555
id,colleague,0.04986149584487534
id,contact Point,0.0030864197530864196
id,death Date,0.003676470588235294
id,death Place,0.014705882352941176
id,duns,0.024691358024691357
id,email,0.005540166204986149
id,family Name,0.003676470588235294
id,fax Number,0.0225
id,follows,0.0
id,funder,0
id,gender,0.006920415224913495
id,given Name,0.004807692307692308
id,global Location Number,0.0
id,has Occupation,0.006920415224913495
id,has Offer Catalog,0.008403361344537815
id,has POS,0.02768166089965398
id,height,0.006920415224913495
id,home Location,0.06015037593984962
id,honorific Prefix,0.00390625
id,honorific Suffix,0.00390625
id,isic V4,0
id,job Title,0.0034602076124567475
id,knows,0.006172839506172839
id,makes Offer,0.004524886877828055
id,member Of,0.04986149584487534
id,naics,0
id,nationality,0.008888888888888889
id,net Worth,0.0
id,owns,0.0
id,parent,0.04081632653061224
id,performer In,0.05555555555555555
id,publishing Principles,0.0029239766081871343
id,related To,0.0
id,seeks,0.006920415224913495
id,sibling,0
id,sponsor,0.04986149584487534
id,spouse,0.05555555555555555
id,tax ID,0.027777777777777776
id,telephone,0.04986149584487534
id,vat ID,0.023809523809523808
id,weight,0.0078125
id,work Location,0.01680672268907563
id,works For,0.05555555555555555
name,additional Type,0.0
name,alternate Name,0.06923076923076923
name,description,0.05555555555555555
name,disambiguating Description,0.01111111111111111
name,identifier,0.05555555555555555
name,image,0.04733727810650888
name,main Entity Of Page,0.0
name,name,0.8999999999999999
name,potential Action,0.0
name,same As,0
name,subject Of,0.06611570247933884
name,rl,0
name,additional Name,0.0
name,address,0.04081632653061224
name,affiliation,0.05555555555555555
name,alumni Of,0.01183431952662722
name,award,0.035555555555555556
name,birth Date,0.027777777777777776
name,birth Place,0.027777777777777776
name,brand,0.42603550295857995
name,children,0.013888888888888888
name,colleague,0.01183431952662722
name,contact Point,0.02040816326530612
name,death Date,0.02564102564102564
name,death Place,0.02366863905325444
name,duns,0.0037807183364839316
name,email,0.035555555555555556
name,family Name,0.13846153846153847
name,fax Number,0.009615384615384616
name,follows,0.0
name,funder,0
name,gender,0.04733727810650888
name,given Name,0.09999999999999999
name,global Location Number,0.0
name,has Occupation,0.04733727810650888
name,has Offer Catalog,0.02366863905325444
name,has POS,0.16326530612244897
name,height,0.04733727810650888
name,home Location,0.006666666666666667
name,honorific Prefix,0.05555555555555555
name,honorific Suffix,0.05952380952380952
name,isic V4,0
name,job Title,0.02366863905325444
name,knows,0.04081632653061224
name,makes Offer,0.017094017094017096
name,member Of,0.01183431952662722
name,naics,0
name,nationality,0.06611570247933884
name,net Worth,0.0
name,owns,0.0
name,parent,0.008888888888888889
name,performer In,0.013888888888888888
name,publishing Principles,0.019047619047619046
name,related To,0.0
name,seeks,0.04733727810650888
name,sibling,0
name,sponsor,0.01183431952662722
name,spouse,0.013888888888888888
name,tax ID,0.04591836734693877
name,telephone,0.008888888888888889
name,vat ID,0.031141868512110732
name,weight,0.05555555555555555
name,work Location,0.02366863905325444
name,works For,0.01020408163265306
nip,additional Type,0.0
nip,alternate Name,0.01282051282051282
nip,description,0.05555555555555555
nip,disambiguating Description,0.01111111111111111
