No,atribut,property,score
1.,name,additional Type,0.0
2.,name,alternate Name,0.06923076923076923
3.,name,description,0.05555555555555555
4.,name,disambiguating Description,0.01111111111111111
5.,name,identifier,0.05555555555555555
6.,name,image,0.04733727810650888
7.,name,main Entity Of Page,0.0
8.,name,name,0.8999999999999999
9.,name,potential Action,0.0
10.,name,same As,0
11.,name,subject Of,0.06611570247933884
12.,name,rl,0
13.,name,additional Name,0.0
14.,name,address,0.04081632653061224
15.,name,affiliation,0.05555555555555555
16.,name,alumni Of,0.01183431952662722
17.,name,award,0.035555555555555556
18.,name,birth Date,0.027777777777777776
19.,name,birth Place,0.027777777777777776
20.,name,brand,0.42603550295857995
21.,name,children,0.013888888888888888
22.,name,colleague,0.01183431952662722
23.,name,contact Point,0.02040816326530612
24.,name,death Date,0.02564102564102564
25.,name,death Place,0.02366863905325444
26.,name,duns,0.0037807183364839316
27.,name,email,0.035555555555555556
28.,name,family Name,0.13846153846153847
29.,name,fax Number,0.009615384615384616
30.,name,follows,0.0
31.,name,funder,0
32.,name,gender,0.04733727810650888
33.,name,given Name,0.09999999999999999
34.,name,global Location Number,0.0
35.,name,has Occupation,0.04733727810650888
36.,name,has Offer Catalog,0.02366863905325444
37.,name,has POS,0.16326530612244897
38.,name,height,0.04733727810650888
39.,name,home Location,0.006666666666666667
40.,name,honorific Prefix,0.05555555555555555
41.,name,honorific Suffix,0.05952380952380952
42.,name,isic V4,0
43.,name,job Title,0.02366863905325444
44.,name,knows,0.04081632653061224
45.,name,makes Offer,0.017094017094017096
46.,name,member Of,0.01183431952662722
47.,name,naics,0
48.,name,nationality,0.06611570247933884
49.,name,net Worth,0.0
50.,name,owns,0.0
51.,name,parent,0.008888888888888889
52.,name,performer In,0.013888888888888888
53.,name,publishing Principles,0.019047619047619046
54.,name,related To,0.0
55.,name,seeks,0.04733727810650888
56.,name,sibling,0
57.,name,sponsor,0.01183431952662722
58.,name,spouse,0.013888888888888888
59.,name,tax ID,0.04591836734693877
60.,name,telephone,0.008888888888888889
61.,name,vat ID,0.031141868512110732
62.,name,weight,0.05555555555555555
63.,name,work Location,0.02366863905325444
64.,name,works For,0.01020408163265306
65.,gender,additional Type,0.0
66.,gender,alternate Name,0.01098901098901099
67.,gender,description,0.04733727810650888
68.,gender,disambiguating Description,0.009615384615384616
69.,gender,identifier,0.04733727810650888
70.,gender,image,0.04081632653061224
71.,gender,main Entity Of Page,0.0
72.,gender,name,0.04733727810650888
73.,gender,potential Action,0.0
74.,gender,same As,0
75.,gender,subject Of,0.05555555555555555
76.,gender,rl,0
77.,gender,additional Name,0.0
78.,gender,address,0.035555555555555556
79.,gender,affiliation,0.04733727810650888
80.,gender,alumni Of,0.01020408163265306
81.,gender,award,0.03125
82.,gender,birth Date,0.02366863905325444
83.,gender,birth Place,0.02366863905325444
84.,gender,brand,0.04081632653061224
85.,gender,children,0.01183431952662722
86.,gender,colleague,0.01020408163265306
87.,gender,contact Point,0.017777777777777778
88.,gender,death Date,0.02197802197802198
89.,gender,death Place,0.02040816326530612
90.,gender,duns,0.003472222222222222
91.,gender,email,0.03125
92.,gender,family Name,0.04591836734693877
93.,gender,fax Number,0.008403361344537815
94.,gender,follows,0.0
